Seed,WiFi_Nodes,NRU_Nodes,WiFi_CW_Min,WiFi_CW_Max,NRU_CW_Min,NRU_CW_Max,WiFi_Throughput,NRU_Throughput,Total_Throughput,WiFi_PLR,NRU_PLR,WiFi_Latency,NRU_Latency,WiFi_Access_Delay,NRU_Access_Delay,WiFi_SINR,NRU_SINR,Traditional_Fairness,Jains_Fairness,Joint_Metric,WiFi_COT,NRU_COT,Total_COT,WiFi_Efficiency,NRU_Efficiency,Total_Efficiency
6,1,3,135,511,42,168,368.79818400000005,615.84,984.6381840000001,0.005050505050505051,0.004654771140418929,0,0,613.6363636363636,234.15981380915437,118.0,-6.882887292529541e-12,0.9920745102882065,0.9053030639401446,0.9347199050398165,0.4289872,0.5132,0.9421872,0.42552,0.5132,0.93872
7,1,3,135,511,42,168,370.04623200000003,618.7199999999999,988.766232,0.0,0.0,0,0,607.5,232.0,-6.882887292529541e-12,39.333333333328746,0.9919617943879374,0.9080266150782649,0.9384344778701836,0.43043893333333333,0.5156,0.9460389333333333,0.42696,0.5156,0.94256
8,1,3,135,511,42,168,373.946382,611.76,985.7063820000001,0.0004170141784820684,0.000392156862745098,0,0,608.0066722268557,232.1819607843137,-6.882887292529541e-12,39.333333333328746,0.9937667633359666,0.8944332921780062,0.9388865900907959,0.4349756,0.5098,0.9447756,0.43146,0.5098,0.94126
9,1,3,135,511,42,168,357.56575200000003,631.92,989.485752,0.006932409012131715,0.00604001510003775,0,0,615.92287694974,234.8025670064175,-6.882887292529541e-12,39.333333333328746,0.9863982306721994,0.8848705723449244,0.9297016386103305,0.4159216,0.5266,0.9425216,0.41256,0.5266,0.93916
10,1,3,135,511,42,168,362.71395,628.8000000000001,991.51395,0.0,0.0,0,0,607.5,232.0,118.0,-6.882887292529541e-12,0.988485709843559,0.9228301064556392,0.935018517798121,0.42191,0.524,0.94591,0.4185,0.524,0.9425
1,2,1,265,511,7,28,548.049078,356.16,904.2090780000001,0.012647554806070826,0.0006734006734006734,0,0,1222.664418212479,74.60033670033671,-6.882887292529541e-12,118.0,0.8826345704231116,0.9837424075112735,0.824638771123578,0.6374924,0.2968,0.9342924,0.63234,0.2968,0.92914
2,2,1,290,511,7,28,473.790222,449.52,923.3102220000001,0.008488410055501142,0.0,0,0,1327.154750244858,74.5,-6.882887292529541e-12,118.0,0.9649170821474943,0.9041061164148245,0.8932375090943074,0.5511142666666666,0.3746,0.9257142666666667,0.54666,0.3746,0.92126
3,2,1,295,511,7,28,462.55778999999995,465.35999999999996,927.91779,0.0026908846283215607,0.0,0,0,1334.6442986881937,74.5,-6.882887292529541e-12,118.0,0.9743402807825086,0.8870852035612289,0.9020916498421112,0.5380486666666666,0.3878,0.9258486666666667,0.5337,0.3878,0.9215
4,2,1,295,511,7,28,456.16154400000005,473.76,929.921544,0.006118286879673691,0.0,0,0,1343.7440516655336,74.5,58.99999999999656,-6.882887292529541e-12,0.9789169724271962,0.8774017100335795,0.9058981197089587,0.5306085333333334,0.3948,0.9254085333333333,0.52632,0.3948,0.92112
5,2,1,300,511,7,28,461.30974199999997,466.8,928.109742,0.0040417649040080834,0.0,0,0,1360.912765240822,74.5,58.99999999999656,-6.882887292529541e-12,0.9752026246648043,0.8853636105598415,0.9026445587683606,0.5365969333333334,0.389,0.9255969333333334,0.53226,0.389,0.92126
6,2,1,300,511,7,28,459.281664,466.56,925.841664,0.010420168067226891,0.0005141388174807198,0,0,1378.1344537815125,74.57660668380463,118.0,118.0,0.9757748989456627,0.8841841432588007,0.9006771810696867,0.5342378666666666,0.3888,0.9230378666666667,0.52992,0.3888,0.91872
7,2,1,310,511,7,28,458.65764,469.44,928.09764,0.006085192697768763,0.0,0,0,1411.9776876267747,74.5,-6.882887292529541e-12,118.0,0.9768631732460018,0.8819010098155029,0.9033170986586568,0.533512,0.3912,0.924712,0.5292,0.3912,0.9204
8,2,1,310,511,7,28,446.801184,484.32,931.121184,0.008310249307479225,0.0,0,0,1418.185595567867,74.5,-6.882887292529541e-12,118.0,0.9844296723449821,0.8642678037361805,0.9089441300987274,0.5197205333333333,0.4036,0.9233205333333333,0.51552,0.4036,0.91912
9,2,1,310,511,7,28,446.64517800000004,484.32,930.965178,0.008313127814340146,0.0,0,0,1418.1936266020089,74.5,-6.882887292529541e-12,118.0,0.9844715358846495,0.8641541414230212,0.9088041347964552,0.5195390666666667,0.4036,0.9231390666666667,0.51534,0.4036,0.91894
10,2,1,315,511,7,28,441.028962,491.04,932.068962,0.007722007722007722,0.0,0,0,1439.3918918918919,74.5,118.0,118.0,0.9874881110298717,0.8557985309949105,0.9106677242505768,0.5130062666666667,0.4092,0.9222062666666667,0.50886,0.4092,0.91806
1,2,2,295,511,27,108,356.62971600000003,627.84,984.4697160000001,0.009102730819245773,0.0019076688286913392,0,0,1351.6677503250974,165.12762304463945,-6.882887292529541e-12,58.99999999999656,0.9868295144751679,0.9283076282798297,0.9256784525857823,0.4148328,0.5232,0.9380328,0.41148,0.5232,0.93468
2,2,2,290,511,32,128,361.777914,619.92,981.697914,0.011087420042643924,0.004624277456647399,0,0,1333.9381663113006,188.72947976878612,118.0,118.0,0.9896686033908352,0.935294827807759,0.9277363297929607,0.4208212,0.5166,0.9374212,0.41742,0.5166,0.93402
3,2,2,295,511,27,108,453.509442,476.64,930.1494419999999,0.0075110959371799246,0.0,0,0,1347.4419597132126,164.5,-6.882887292529541e-12,58.99999999999656,0.9805248479383397,0.7963366157924858,0.906714467274994,0.5275236,0.3972,0.9247236,0.52326,0.3972,0.92046
4,2,2,295,511,27,108,355.225662,634.0799999999999,989.305662,0.00350109409190372,0.0,0,0,1336.7954048140043,164.5,58.99999999999656,-6.882887292529541e-12,0.985252346630797,0.9263300060126304,0.9277132154866198,0.4131996,0.5284,0.9415996,0.40986,0.5284,0.93826
5,2,2,295,511,27,108,424.960344,521.28,946.240344,0.010893246187363835,0.0,0,0,1356.421568627451,164.5,58.99999999999656,-6.882887292529541e-12,0.9958551854041783,0.880314619092121,0.9248658476836785,0.4943152,0.4344,0.9287152,0.49032,0.4344,0.92472
6,2,2,300,511,22,88,432.44863200000003,510.71999999999997,943.168632,0.0071633237822349575,0.0,0,0,1369.3409742120343,142.0,58.99999999999656,-6.882887292529541e-12,0.9930963424951055,0.8504880449398354,0.9222146869073229,0.5030256,0.4256,0.9286256,0.49896,0.4256,0.92456
7,2,2,295,511,27,108,374.4144,603.12,977.5344,0.004975124378109453,0.0,0,0,1340.7089552238806,164.5,58.99999999999656,-6.882887292529541e-12,0.9949130852334879,0.9388896646611297,0.9333478635192396,0.43552,0.5026,0.93812,0.432,0.5026,0.9346
8,2,2,290,511,32,128,357.097734,630.96,988.057734,0.006510416666666667,0.00038022813688212925,0,0,1321.9921875,187.1422053231939,-6.882887292529541e-12,58.99999999999656,0.9864219487928758,0.9282898728860969,0.9283978477834223,0.4153772,0.5258,0.9411772,0.41202,0.5258,0.93782
9,2,2,290,511,32,128,385.802838,585.6,971.402838,0.0072260136491368926,0.0,0,0,1323.8598956242472,187.0,58.99999999999656,-6.882887292529541e-12,0.9982490359404773,0.9538038055465536,0.9351268212007888,0.44876706666666666,0.488,0.9367670666666666,0.44514,0.488,0.93314
10,2,2,290,511,32,128,405.147582,555.36,960.507582,0.0045994633959371405,0.0,0,0,1317.0045994633958,187.0,58.99999999999656,-6.882887292529541e-12,0.9999178015037292,0.9445161234704147,0.9339921542716001,0.4712689333333333,0.4628,0.9340689333333333,0.46746,0.4628,0.93026
1,2,3,290,511,32,128,388.610946,581.28,969.890946,0.007174172977281785,0.0,0,0,1323.7245914707053,187.0,58.99999999999656,-6.882887292529541e-12,0.9988067814345734,0.857460750350022,0.9353160968689532,0.45203346666666666,0.4844,0.9364334666666667,0.44838,0.4844,0.93278
