Seed,WiFi_Nodes,NRU_Nodes,WiFi_CW_Min,WiFi_CW_Max,NRU_CW_Min,NRU_CW_Max,WiFi_Throughput,NRU_Throughput,Total_Throughput,WiFi_PLR,NRU_PLR,WiFi_Latency,NRU_Latency,WiFi_Access_Delay,NRU_Access_Delay,WiFi_SINR,NRU_SINR,Traditional_Fairness,Jains_Fairness,Joint_Metric,WiFi_COT,NRU_COT,Total_COT,WiFi_Efficiency,NRU_Efficiency,Total_Efficiency
2,1,3,295,511,172,511,328.860648,617.28,946.140648,0.000474158368895211,0.000388651379712398,0,0,1328.7588904694167,817.6350563544502,-6.882887292529541e-12,39.333333333328746,0.9788420095792061,0.9484546174396066,0.8779544603113606,0.38253173333333335,0.5144,0.8969317333333333,0.37944,0.5144,0.89384
3,1,3,295,511,172,511,343.681218,594.48,938.161218,0.00045372050816696913,0.0004035512510088781,0,0,1328.7046279491833,817.6594027441486,-6.882887292529541e-12,39.333333333328746,0.9887166413233097,0.9273435809442896,0.8850705304444713,0.3997710666666667,0.4954,0.8951710666666667,0.39654,0.4954,0.89194
4,1,3,295,511,172,511,334.94488200000006,608.88,943.8248820000001,0.0,0.0,0,0,1327.5,817.0,-6.882887292529541e-12,39.333333333328746,0.9830485773693628,0.9417043423413416,0.8818033558009429,0.38960893333333335,0.5074,0.8970089333333333,0.38646,0.5074,0.89386
5,1,3,295,511,172,511,335.880918,609.36,945.240918,0.0,0.0,0,0,1327.5,817.0,-6.882887292529541e-12,39.333333333328746,0.9832974967531564,0.9406498411925017,0.8834905720250518,0.39069773333333335,0.5078,0.8984977333333334,0.38754,0.5078,0.89534
6,1,3,295,511,172,511,338.221008,605.04,943.261008,0.0013818516812528789,0.0011885895404120444,0,0,1331.1688162137266,818.9421553090332,118.0,-6.882887292529541e-12,0.984997107940844,0.9363839381460022,0.884152841363965,0.39341973333333335,0.5042,0.8976197333333333,0.39024,0.5042,0.89444
7,1,3,295,511,172,511,340.71710400000006,601.68,942.397104,0.0009149130832570906,0.0007971303308090873,0,0,1329.9290942360476,818.302510960542,118.0,-6.882887292529541e-12,0.9864849013059658,0.9370790156547862,0.8855903823520759,0.3963232,0.5014,0.8977232,0.39312,0.5014,0.89452
8,1,3,295,511,172,511,339.31305000000003,603.12,942.4330500000001,0.0,0.0,0,0,1327.5,817.0,-6.882887292529541e-12,39.333333333328746,0.9857432173994942,0.9349545071964643,0.8844975315403922,0.39469,0.5026,0.89729,0.3915,0.5026,0.8941
9,1,3,290,511,177,511,337.908996,604.8,942.708996,0.0023030861354214646,0.0019801980198019802,0,0,1311.01105481345,842.8247524752476,118.0,-6.882887292529541e-12,0.9849350025321196,0.9394825001505885,0.8835426415794552,0.3930568,0.504,0.8970568,0.38988,0.504,0.89388
10,1,3,290,511,177,511,335.880918,608.88,944.760918,0.0,0.0,0,0,1305.0,839.5,-6.882887292529541e-12,39.333333333328746,0.9833949812812082,0.9437608578119209,0.8831848036600288,0.39069773333333335,0.5074,0.8980977333333333,0.38754,0.5074,0.89494
1,2,1,400,511,67,268,515.9118420000001,363.84000000000003,879.7518420000001,0.004814926271441469,0.0,0,0,1817.333734577189,344.5,58.99999999999656,-6.882887292529541e-12,0.9024961234557636,0.9718441725673342,0.8152340139444587,0.6001102666666667,0.3032,0.9033102666666667,0.59526,0.3032,0.89846
2,2,1,405,511,62,248,444.92911200000003,463.44,908.3691120000001,0.007654836464857342,0.0,0,0,1850.401878914405,322.0,-6.882887292529541e-12,118.0,0.9793154442701074,0.8765960669800554,0.8850494122633034,0.5175429333333333,0.3862,0.9037429333333333,0.51336,0.3862,0.89956
3,2,1,410,511,57,228,442.589022,469.44,912.0290219999999,0.00281195079086116,0.0,0,0,1855.3760984182777,299.5,-6.882887292529541e-12,118.0,0.9817233459577045,0.8709139077891133,0.8894619021797223,0.5148209333333333,0.3912,0.9060209333333333,0.51066,0.3912,0.90186
4,2,1,410,511,57,228,434.32070400000003,479.76,914.080704,0.0035790980672870437,0.0,0,0,1858.2068718682892,299.5,-6.882887292529541e-12,118.0,0.9866169246335966,0.8583216758354633,0.8928914739675637,0.5052032,0.3998,0.9050032,0.50112,0.3998,0.90092
5,2,1,415,511,52,208,427.61244600000003,490.08,917.692446,0.005081669691470054,0.0,0,0,1886.4800362976407,277.0,118.0,118.0,0.9904381066531628,0.8465159511567043,0.897138969064849,0.4974001333333333,0.4084,0.9058001333333333,0.49338,0.4084,0.90178
6,2,1,415,511,52,208,426.832416,491.76,918.592416,0.003641660597232338,0.0,0,0,1881.101602330663,277.0,58.99999999999656,-6.882887292529541e-12,0.9909327998136888,0.8448366121131761,0.8980752617549874,0.4964928,0.4098,0.9062928,0.49248,0.4098,0.90228
